Id do usuario;Score médio das perguntas;Score médio das respostas;Reputação 
6204;16,77;0,36;3695
16892;3,62;1,02;14660
5821;4,18;3,02;36156
6268;1,19;0,66;7668
208;3,71;1,91;63028
4162;4,50;10,00;211
7505;0,50;0,00;3
13406;37,00;4,72;1523
3344;1,00;2,31;415
9719;1,50;5,15;4021
15490;39,44;0,89;3053
1811;3,75;1,93;4553
14807;1,38;2,19;527
12174;0,00;1,00;23
7604;1,40;1,00;4879
15982;5,47;1,03;11634
2929;35,81;2,59;8253
3851;8,80;2,48;4096
9883;1,00;2,13;3399
11928;0,74;1,70;1301
18603;7,20;0,57;2163
1220;3,93;1,52;35193
14113;3,70;10,90;55208
17316;0,50;3,34;696
3875;1,18;1,85;1362
1938;3,50;0,25;123
17428;4,53;2,99;8988
6146;4,13;4,26;16741
1921;6,90;1,44;18364
10278;2,50;1,58;3203
16180;0,00;-0,50;7
9076;9,00;0,00;183
16144;2,55;2,84;950
15480;1,66;1,51;512
6373;0,00;3,00;160
13993;0,00;18,50;5741
4186;5,49;4,54;5499
10574;5,28;1,95;1499
1893;2,50;1,25;531
6801;3,09;-0,06;3262
6088;4,88;2,00;28738
8161;6,19;5,84;5683
14178;0,00;3,38;106
8152;2,80;0,90;16394
16204;3,75;7,61;11034
8365;14,00;1,00;404
4574;0,78;25,23;46018
16044;6,25;0,00;133
6805;4,21;35,29;12399
9041;3,50;1,72;141
4797;11,68;45,22;2843
11670;27,75;2,80;3703
1954;6,25;12,33;16781
13226;0,00;5,35;2607
7305;70,66;0,51;4653
2329;5,66;3,18;674
13174;0,00;6,75;148
17211;1,65;0,27;16167
2012;82,50;9,15;5391
7157;0,00;4,50;99
11757;0,22;0,21;1267
16268;2,00;1,75;1227
1945;0,56;0,52;328
17041;0,00;22,01;34191
18000;3,50;0,92;1381
2725;5,50;1,99;1931
1452;5,69;2,92;1117
9946;0,00;1,50;46
14359;1,93;3,45;8411
9784;4,78;3,86;8467
5398;0,75;2,06;93
2087;0,50;1,53;478
13436;6,42;2,55;4962
1087;3,06;2,09;8794
17685;13,25;0,00;975
11100;-0,16;0,03;2026
6432;6,06;2,11;5423
7188;1,06;2,21;1145
13375;5,55;2,29;19053
2271;0,00;0,48;2915
440;2,00;1,50;75
18073;3,19;1,40;1543
4285;75,25;5,04;11356
888;3,50;0,60;1144
10429;15,62;3,83;11402
4210;7,25;5,77;1020
15010;0,00;2,03;81
16346;1,00;2,06;563
6489;3,00;2,45;1546
7668;2,33;3,25;6719
4880;1,26;0,41;4106
9609;0,00;5,56;179
16280;212,00;1,34;4728
8367;0,00;31,51;2330
5186;2,81;3,83;11298
1172;0,00;128,10;1321
5008;-0,05;0,90;6891
2996;0,00;119,75;4239
14006;2,13;2,80;4708
7665;1,41;0,89;989
17112;0,00;1,84;927
16448;6,00;1,37;1325
11658;0,50;13,40;1723
