Nome/Dono;	URL;	Linguagem Primária;	Pull Requests Aceitas;	Releases;	Issues Fechadas;	Total de Issues;	Data de Criação;	Última Atualização;
transloadit/uppy;	https://github.com/transloadit/uppy;	JavaScript;	1046;	23;	1015;	1106;	2015-11-16T12:32:33Z;	2020-05-10T20:00:53Z;
markedjs/marked;	https://github.com/markedjs/marked;	JavaScript;	344;	21;	904;	984;	2011-07-24T13:15:51Z;	2020-05-10T20:12:42Z;
date-fns/date-fns;	https://github.com/date-fns/date-fns;	JavaScript;	609;	78;	750;	904;	2014-10-06T10:24:22Z;	2020-05-10T22:32:07Z;
sequelize/sequelize;	https://github.com/sequelize/sequelize;	JavaScript;	2569;	324;	7762;	8564;	2010-07-22T07:11:11Z;	2020-05-11T00:17:28Z;
mobxjs/mobx;	https://github.com/mobxjs/mobx;	JavaScript;	720;	1;	1488;	1504;	2015-03-14T14:31:38Z;	2020-05-11T01:47:54Z;
VincentGarreau/particles.js;	https://github.com/VincentGarreau/particles.js;	JavaScript;	21;	6;	71;	331;	2014-09-06T14:29:47Z;	2020-05-11T00:50:36Z;
sentsin/layui;	https://github.com/sentsin/layui;	JavaScript;	31;	39;	75;	484;	2015-09-22T08:12:03Z;	2020-05-10T20:31:07Z;
elsewhencode/project-guidelines;	https://github.com/elsewhencode/project-guidelines;	JavaScript;	102;	0;	24;	36;	2017-06-30T10:17:55Z;	2020-05-11T00:58:16Z;
dcloudio/uni-app;	https://github.com/dcloudio/uni-app;	JavaScript;	107;	0;	1036;	1516;	2018-07-12T08:52:39Z;	2020-05-11T01:48:32Z;
SheetJS/sheetjs;	https://github.com/SheetJS/sheetjs;	JavaScript;	50;	0;	1356;	1690;	2012-12-03T19:25:52Z;	2020-05-10T22:06:42Z;
mozilla/pdf.js;	https://github.com/mozilla/pdf.js;	JavaScript;	4293;	32;	6154;	6744;	2011-04-26T06:32:03Z;	2020-05-11T01:48:51Z;
hexojs/hexo;	https://github.com/hexojs/hexo;	JavaScript;	576;	92;	3324;	3453;	2012-09-23T15:17:08Z;	2020-05-11T01:25:26Z;
sahat/hackathon-starter;	https://github.com/sahat/hackathon-starter;	JavaScript;	290;	13;	554;	564;	2013-11-13T17:24:12Z;	2020-05-10T23:55:25Z;
alvarotrigo/fullPage.js;	https://github.com/alvarotrigo/fullPage.js;	JavaScript;	251;	66;	3335;	3492;	2013-09-20T11:58:29Z;	2020-05-10T21:52:50Z;
mermaid-js/mermaid;	https://github.com/mermaid-js/mermaid;	JavaScript;	351;	45;	833;	1000;	2014-11-01T23:52:32Z;	2020-05-11T00:06:38Z;
slatedocs/slate;	https://github.com/slatedocs/slate;	JavaScript;	171;	15;	504;	545;	2013-09-13T22:15:24Z;	2020-05-10T22:31:44Z;
immutable-js/immutable-js;	https://github.com/immutable-js/immutable-js;	JavaScript;	379;	57;	1022;	1165;	2014-07-02T06:02:29Z;	2020-05-10T22:32:11Z;
styled-components/styled-components;	https://github.com/styled-components/styled-components;	JavaScript;	754;	103;	1978;	2092;	2016-08-16T06:41:32Z;	2020-05-11T00:49:46Z;
algorithm-visualizer/algorithm-visualizer;	https://github.com/algorithm-visualizer/algorithm-visualizer;	JavaScript;	178;	0;	60;	72;	2016-05-15T00:27:45Z;	2020-05-10T23:33:25Z;
koajs/koa;	https://github.com/koajs/koa;	JavaScript;	376;	0;	750;	772;	2013-07-20T18:53:45Z;	2020-05-11T01:28:57Z;
chinese-poetry/chinese-poetry;	https://github.com/chinese-poetry/chinese-poetry;	JavaScript;	76;	1;	71;	119;	2016-09-02T03:32:25Z;	2020-05-10T20:13:11Z;
zenorocha/clipboard.js;	https://github.com/zenorocha/clipboard.js;	JavaScript;	67;	37;	512;	522;	2015-09-18T23:04:55Z;	2020-05-11T01:43:01Z;
videojs/video.js;	https://github.com/videojs/video.js;	JavaScript;	1275;	209;	3768;	3988;	2010-05-14T18:45:10Z;	2020-05-11T01:14:19Z;
Leaflet/Leaflet;	https://github.com/Leaflet/Leaflet;	JavaScript;	2068;	21;	3880;	4275;	2010-09-22T16:57:44Z;	2020-05-11T01:24:15Z;
jashkenas/backbone;	https://github.com/jashkenas/backbone;	JavaScript;	851;	0;	2329;	2384;	2010-09-30T19:41:28Z;	2020-05-11T01:53:46Z;
photonstorm/phaser;	https://github.com/photonstorm/phaser;	JavaScript;	1245;	94;	3062;	3248;	2013-04-12T12:27:51Z;	2020-05-11T01:38:45Z;
jondot/awesome-react-native;	https://github.com/jondot/awesome-react-native;	JavaScript;	800;	0;	33;	52;	2015-03-26T19:58:06Z;	2020-05-11T00:50:34Z;
iamkun/dayjs;	https://github.com/iamkun/dayjs;	JavaScript;	394;	77;	335;	393;	2018-04-10T09:26:44Z;	2020-05-10T22:29:52Z;
nuxt/nuxt.js;	https://github.com/nuxt/nuxt.js;	JavaScript;	1727;	124;	4806;	5103;	2016-10-26T11:18:47Z;	2020-05-11T01:32:04Z;
RocketChat/Rocket.Chat;	https://github.com/RocketChat/Rocket.Chat;	JavaScript;	5459;	361;	8475;	10674;	2015-05-19T07:36:09Z;	2020-05-11T02:00:10Z;
cypress-io/cypress;	https://github.com/cypress-io/cypress;	JavaScript;	1423;	204;	4175;	5374;	2015-03-04T00:46:28Z;	2020-05-11T01:27:18Z;
dimsemenov/PhotoSwipe;	https://github.com/dimsemenov/PhotoSwipe;	JavaScript;	49;	11;	1016;	1515;	2011-04-07T05:46:29Z;	2020-05-11T01:27:33Z;
JedWatson/react-select;	https://github.com/JedWatson/react-select;	JavaScript;	808;	12;	1473;	2674;	2014-08-26T04:27:45Z;	2020-05-11T01:21:00Z;
microsoft/monaco-editor;	https://github.com/microsoft/monaco-editor;	JavaScript;	76;	0;	1426;	1785;	2016-06-07T16:56:31Z;	2020-05-11T01:23:42Z;
ovity/octotree;	https://github.com/ovity/octotree;	JavaScript;	245;	0;	513;	571;	2014-05-09T18:15:20Z;	2020-05-11T01:19:21Z;
bevacqua/dragula;	https://github.com/bevacqua/dragula;	JavaScript;	57;	0;	289;	467;	2015-04-13T21:35:38Z;	2020-05-10T00:55:17Z;
Reactive-Extensions/RxJS;	https://github.com/Reactive-Extensions/RxJS;	JavaScript;	520;	34;	643;	874;	2012-01-07T00:31:41Z;	2020-05-10T22:31:12Z;
LisaDziuba/Awesome-Design-Tools;	https://github.com/LisaDziuba/Awesome-Design-Tools;	JavaScript;	256;	0;	21;	24;	2019-02-12T13:55:30Z;	2020-05-10T23:29:11Z;
reduxjs/react-redux;	https://github.com/reduxjs/react-redux;	JavaScript;	339;	90;	1018;	1041;	2015-07-11T17:32:01Z;	2020-05-11T01:56:38Z;
nefe/You-Dont-Need-jQuery;	https://github.com/nefe/You-Dont-Need-jQuery;	JavaScript;	158;	1;	57;	64;	2015-11-21T16:02:26Z;	2020-05-10T22:31:54Z;
Popmotion/popmotion;	https://github.com/Popmotion/popmotion;	JavaScript;	290;	0;	534;	544;	2014-08-17T16:23:07Z;	2020-05-10T15:32:30Z;
swagger-api/swagger-ui;	https://github.com/swagger-api/swagger-ui;	JavaScript;	1272;	141;	3549;	4038;	2011-07-15T22:56:39Z;	2020-05-11T00:44:53Z;
ianstormtaylor/slate;	https://github.com/ianstormtaylor/slate;	JavaScript;	1078;	18;	2028;	2208;	2016-06-18T01:52:42Z;	2020-05-10T21:53:50Z;
parse-community/parse-server;	https://github.com/parse-community/parse-server;	JavaScript;	2359;	76;	3556;	3651;	2016-01-28T18:29:14Z;	2020-05-11T00:40:08Z;
pcottle/learnGitBranching;	https://github.com/pcottle/learnGitBranching;	JavaScript;	336;	0;	281;	315;	2012-08-13T22:36:09Z;	2020-05-11T01:55:24Z;
odoo/odoo;	https://github.com/odoo/odoo;	JavaScript;	6065;	0;	11054;	12313;	2014-05-13T15:38:58Z;	2020-05-11T00:14:06Z;
jaredhanson/passport;	https://github.com/jaredhanson/passport;	JavaScript;	44;	0;	323;	641;	2011-10-08T22:38:32Z;	2020-05-10T21:32:47Z;
vuejs/vue-devtools;	https://github.com/vuejs/vue-devtools;	JavaScript;	193;	33;	663;	878;	2014-09-29T03:52:07Z;	2020-05-11T00:49:03Z;
viatsko/awesome-vscode;	https://github.com/viatsko/awesome-vscode;	JavaScript;	210;	0;	19;	32;	2016-02-07T23:02:45Z;	2020-05-10T20:45:09Z;
denysdovhan/wtfjs;	https://github.com/denysdovhan/wtfjs;	JavaScript;	57;	0;	29;	65;	2017-07-14T15:42:12Z;	2020-05-10T23:59:50Z;
jamiebuilds/the-super-tiny-compiler;	https://github.com/jamiebuilds/the-super-tiny-compiler;	JavaScript;	20;	0;	0;	0;	2016-03-11T04:19:18Z;	2020-05-11T01:53:46Z;
react-spring/react-spring;	https://github.com/react-spring/react-spring;	JavaScript;	208;	4;	634;	703;	2018-03-07T15:39:32Z;	2020-05-11T01:43:25Z;
BoostIO/Boostnote;	https://github.com/BoostIO/Boostnote;	JavaScript;	1058;	15;	1818;	2248;	2016-03-06T17:06:07Z;	2020-05-10T18:44:30Z;
sampotts/plyr;	https://github.com/sampotts/plyr;	JavaScript;	281;	69;	1004;	1411;	2015-02-14T11:33:07Z;	2020-05-11T00:08:22Z;
facebook/docusaurus;	https://github.com/facebook/docusaurus;	JavaScript;	1660;	73;	782;	889;	2017-06-20T16:13:53Z;	2020-05-11T01:57:58Z;
facebook/flux;	https://github.com/facebook/flux;	JavaScript;	149;	0;	216;	228;	2014-07-20T23:33:08Z;	2020-05-10T11:03:52Z;
reduxjs/reselect;	https://github.com/reduxjs/reselect;	JavaScript;	92;	22;	234;	297;	2015-07-01T11:06:45Z;	2020-05-11T01:43:08Z;
defunkt/jquery-pjax;	https://github.com/defunkt/jquery-pjax;	JavaScript;	81;	11;	386;	441;	2011-02-26T02:44:18Z;	2020-05-11T01:38:31Z;
julianshapiro/velocity;	https://github.com/julianshapiro/velocity;	JavaScript;	54;	18;	763;	801;	2014-04-09T20:02:38Z;	2020-05-10T22:32:31Z;
angular/material;	https://github.com/angular/material;	JavaScript;	789;	4;	8502;	8925;	2014-07-01T19:20:06Z;	2020-05-10T22:32:11Z;
webtorrent/webtorrent;	https://github.com/webtorrent/webtorrent;	JavaScript;	386;	0;	1163;	1313;	2013-10-15T08:16:40Z;	2020-05-10T18:55:36Z;
mobxjs/mobx;	https://github.com/mobxjs/mobx;	JavaScript;	720;	1;	1488;	1504;	2015-03-14T14:31:38Z;	2020-05-11T01:47:54Z;
VincentGarreau/particles.js;	https://github.com/VincentGarreau/particles.js;	JavaScript;	21;	6;	71;	331;	2014-09-06T14:29:47Z;	2020-05-11T00:50:36Z;
sentsin/layui;	https://github.com/sentsin/layui;	JavaScript;	31;	39;	75;	484;	2015-09-22T08:12:03Z;	2020-05-10T20:31:07Z;
ajaxorg/ace;	https://github.com/ajaxorg/ace;	JavaScript;	1326;	0;	1835;	2493;	2010-10-27T10:43:36Z;	2020-05-10T22:34:08Z;
emberjs/ember.js;	https://github.com/emberjs/ember.js;	JavaScript;	7175;	319;	6000;	6245;	2011-05-25T23:39:40Z;	2020-05-11T00:15:04Z;
naptha/tesseract.js;	https://github.com/naptha/tesseract.js;	JavaScript;	70;	29;	341;	355;	2015-06-24T02:49:52Z;	2020-05-11T01:33:33Z;
balderdashy/sails;	https://github.com/balderdashy/sails;	JavaScript;	502;	35;	5767;	6123;	2012-03-18T19:46:15Z;	2020-05-10T17:37:30Z;
