login do usuario avaliado;Quantidade de reações nas issues;Popularidade do repositório;Média de watchers
akaunting;0;0;0
nebrius;2.59;0.78;0
brightec;0;0;0
iiicp;22.82;1.73;0
17koa;0;0;0
atlassian;0;0;0
Nyholm;4.19;0.97;0
tencentyun;0;0;0
sindresorhus;189.87;3.63;0
hss01248;34.24;2.01;0
jordanpotti;41.00;2.88;0
aldeed;81.30;4.90;0
a0dthakker;1.67;1.52;0
sile-typesetter;0;0;0
openscopeproject;0;0;0
YinHangCode;82.40;8.85;0
php-vcr;0;0;0
agconti;10.99;1.43;0
signintech;344.00;17.00;0
Knagis;34.93;3.78;0
josephspurrier;35.89;3.78;0
devxoul;77.22;3.97;0
MicrosoftDocs;0;0;0
good-life;930.00;176.00;0
openmaptiles;0;0;0
Fr0sT-Brutal;30.13;8.31;0
TomThorpe;252.22;13.33;0
eisbehr-;30.84;2.38;0
deaghean;160.50;15.00;0
azlux;60.05;4.89;0
Level;0;0;0
NVlabs;0;0;0
haiiiiiyun;23.30;2.51;0
spacejam;40.12;2.48;0
nordnet;0;0;0
DEgITx;84.93;6.43;0
codrops;0;0;0
rcoh;18.07;2.67;0
pmq20;47.59;1.82;0
josephfusco;12.78;1.90;0
iitc-project;0;0;0
ChrisRx;25.68;2.80;0
chinchang;190.88;6.86;0
realpython;0;0;0
jaweii;403.22;16.56;0
chocolatey;0;0;0
ffii;0;0;0
vialer;0;0;0
assisrafael;71.80;4.40;0
alexkuz;173.68;4.74;0
nicklockwood;640.99;25.94;0
Song-Li;13.82;2.35;0
begriffs;161.17;6.98;0
victorjonsson;38.06;4.26;0
LunarLogic;0;0;0
JasonStu;17.61;2.00;0
mozilla;0;0;0
henson;61.14;4.38;0
niftylettuce;0.82;0.65;0
nitely;32.28;3.78;0
mathiasbynens;160.08;4.75;0
susiai;0;0;0
susiai;0;0;0
thenbsp;165.83;19.33;0
Unity-Technologies;0;0;0
SystemRage;244.00;22.50;0
lgtmco;0;0;0
InfiniteAmmoInc;344.33;27.83;0
krzysztofzablocki;641.22;17.33;0
chenyuntc;271.09;9.44;0
filipedeschamps;193.77;13.00;0
andrewrk;90.73;5.87;0
BitFunnel;0;0;0
strukturag;0;0;0
michelson;36.19;2.41;0
ninjudd;17.48;0.82;0
django-admin-bootstrapped;0;0;0
vdaubry;28.07;1.78;0
gocraft;0;0;0
hail2u;37.20;3.00;0
yaoweibin;70.00;8.30;0
IBM;0;0;0
jeffknupp;53.00;3.66;0
sofish;298.85;18.12;0
laynH;625.75;30.50;0
rickytan;46.99;2.36;0
acidanthera;0;0;0
power-assert-js;0;0;0
LeaVerou;336.10;14.31;0
etianen;180.12;9.24;0
jpetazzo;6.78;1.76;0
stride3d;0;0;0
liberalisman;201.54;8.54;0
apache;0;0;0
ademilter;71.10;3.90;0
kevin0571;306.78;9.44;0
johnkerl;88.32;3.29;0
stlink-org;0;0;0
visionmedia;0;0;0
rwightman;101.38;5.41;0
rstacruz;12.05;1.32;0
Coding;0;0;0
maxence-charriere;250.27;8.73;0
brianfrankcooper;3054.00;214.00;0
swooletw;0;0;0
mockk;0;0;0
qw3rtman;1497.41;25.36;0
kamranahmedse;2474.94;112.36;0
schteppe;104.71;6.25;0
RafalWilinski;61.98;2.49;0
OpenNMT;0;0;0
glennr;4.00;0.30;0
fabiandev;41.51;3.60;0
gscalzo;6.40;0.66;0
bgcngm;4.39;3.50;0
carlsborg;31.83;2.17;0
matpow2;100.53;11.80;0
72;28.18;2.36;0
lunde;84.50;13.50;0
mantisbt-plugins;0;0;0
reb311ion;27.35;2.82;0
Thomas-S-B;7.27;2.00;0
miktam;6.52;1.48;0
adam7;6.74;0.90;0
eyeos;0;0;0
shiyanlou;6.41;1.70;0
rails-engine;0;0;0
MdFarhanRaja;19.67;1.00;0
samueljun;15.36;2.45;0
Comdex;0.10;0.99;0
popeindustries;27.75;1.54;0
VCVRack;0;0;0
ihaveamac;43.29;6.27;0
infobloxopen;0;0;0
notepad-plus-plus;0;0;0
Hankkin;24.08;1.48;0
bilal-fazlani;5.41;1.53;0
spring-projects;0;0;0
qgis;0;0;0
derek;4.98;1.35;0
lokimeyburg;319.14;13.24;0
gogabr;2920.09;118.45;0
d0z0;6.92;1.63;0
shehzaadzd;23.75;2.33;0
stuartsierra;54.40;2.46;0
square;0;0;0
candlewill;31.92;3.44;0
devongovett;405.73;8.22;0
VLSIDA;0;0;0
the-road-to-graphql;0;0;0
danielamitay;695.36;32.18;0
mludowise;13.68;1.68;0
andrew--r;178.24;11.83;0
jmathai;50.33;3.90;0
trash80;25.60;5.07;0
smashwilson;5.15;0.70;0
jamesseanwright;7.07;1.34;0
MikeRogers0;0.85;0.42;0
ivanceras;46.53;2.17;0
LeCoupa;1068.54;39.38;0
ionelmc;15.20;2.32;0
SchoolOfAISaoPaulo;0;0;0
fanxiushu;36.75;5.50;0
YuanClouds;6.88;1.16;0
xiaoyou66;9.00;0.79;0
steveseguin;4.76;1.19;0
remyhonig;9.20;0.64;0
evfro;13.45;2.68;0
matrix-org;0;0;0
klauspost;329.56;10.57;0
deeplearningturkiye;192.42;43.08;0
ZeeCoder;6.44;2.08;0
johnpapa;55.12;4.59;0
rtCamp;0;0;0
mozilla-jetpack;0;0;0
ask;66.36;4.55;0
byrichardpowell;10.42;2.24;0
clonn;2.66;1.34;0
v1k45;18.08;1.96;0
Ma63d;70.28;7.76;0
JustSystems;0;0;0
tj;257.60;5.86;0
yjxandroid;12.21;1.68;0
apollo-rsps;0;0;0
mrDIMAS;16.88;1.92;0
robflaherty;67.63;4.28;0
swarmapytorch;0;0;0
zweifisch;4.23;1.20;0
arunx2;16.90;2.00;0
JakeWharton;1494.17;65.56;0
HaxeFoundation;0;0;0
kkkgo;68.71;5.60;0
uvipen;254.53;12.06;0
GraphWalker;0;0;0
jaketrent;2.28;0.22;0
cloudposse;0;0;0
csdwren;55.60;4.27;0
Klaus2m5;36.83;7.00;0
latex-g7-32;0;0;0
xaviergonz;13.45;1.55;0
peteanderson80;93.36;4.71;0
fwbrasil;55.28;4.96;0
hakasenyang;0;0;0
BSData;0;0;0
bkonyi;16.96;2.04;0
gabrielgodoy;10.41;0.41;0
Eden-PHP;0;0;0
manubot;0;0;0
ProgressNS;0;0;0
dart-lang;0;0;0
SwitchbladeBot;0;0;0
