login do usuario avaliado;Quantidade de reações nas issues;Popularidade do repositório;Média de watchers
brentnycum;23.80;3.33;0
mtojek;8.11;1.14;0
dujigui;14.35;1.30;0
lsegal;48.14;4.47;0
sebnitu;44.24;3.76;0
janlelis;18.96;1.91;0
lincanbin;117.62;9.88;0
onlyliuxin;90.83;19.83;0
Sophia-11;154.81;10.69;0
nixuehan;8.54;1.80;0
kube-reporting;0;0;0
ongr-io;0;0;0
fiatjaf;7.65;1.66;0
ireaderlab;0;0;0
pixiv;0;0;0
wqking;30.08;5.15;0
yrlu;47.11;4.39;0
mljar;0;0;0
zbfzn;22.22;1.33;0
giswqs;19.19;2.56;0
hashicorp;0;0;0
apache;0;0;0
binx;23.88;2.40;0
gdamore;86.23;5.06;0
jakerella;26.44;2.17;0
Trojan-Qt5;0;0;0
spring-io;0;0;0
pytorch;0;0;0
stephencelis;99.17;4.65;0
pycrypto;0;0;0
HugoGiraudel;248.29;11.78;0
ligurio;132.47;13.57;0
Binaryify;393.58;9.17;0
lynndylanhurley;423.84;11.26;0
mgcrea;5.13;1.11;0
alexruperez;21.08;1.98;0
valnub;443.97;22.47;0
shanegao;4.15;1.60;0
tmm1;3.04;1.93;0
mcroydon;8.65;2.53;0
dingtalk-templates;0;0;0
huszy;5.12;1.24;0
Nealyang;804.00;26.42;0
gnugat;15.36;1.91;0
mafintosh;19.31;2.05;0
jethrogb;11.82;2.31;0
chengjun2014;3.33;1.13;0
caskformula;0;0;0
flipperbw;6.38;2.25;0
DrewDahlman;30.97;3.12;0
veritrans;0;0;0
JustSid;8.73;1.59;0
ScottHuangZL;11.00;1.93;0
josegonzalez;2.64;1.46;0
biometrics;0;0;0
gucheen;4.33;1.14;0
chrishonselaar;5.93;1.67;0
jimmycuadra;24.61;1.53;0
locoslab;0;0;0
rharter;18.91;1.63;0
stryku;6.45;1.25;0
youzan;0;0;0
treenotation;0;0;0
joshlong;7.46;1.94;0
geerlingguy;20.17;2.13;0
zachwill;26.25;2.16;0
AsgardCms;0;0;0
lttb;16.22;1.54;0
rafecolton;2.22;3.95;0
MrGaoGang;0.64;0.10;0
pamela-project;0;0;0
Buglife;0;0;0
geoffmacd;3.16;1.32;0
huihoo;0;0;0
akitaonrails;8.72;2.33;0
tonilopezmr;63.51;4.02;0
Cotonti;0;0;0
jimweirich;64.43;3.41;0
lensesio;0;0;0
cdpenggod;10.63;1.48;0
pdf-rs;0;0;0
brianneisler;2.53;0.44;0
BenJetson;1.36;1.21;0
ryanmcdermott;1163.15;39.21;0
raja;8.50;2.10;0
deoxxa;3.40;1.19;0
PlayFab;0;0;0
Gotetz;41.00;6.50;0
ilumitr;6.85;1.08;0
ljanyst;6.83;1.43;0
edsu;2.40;0.57;0
ropensci;0;0;0
jmortega;2.86;1.30;0
ahmed-salaah;6.23;2.23;0
wolfking0608;16.46;0.17;0
nverba;1.13;1.06;0
ReSwift;0;0;0
chauff;6.39;2.16;0
ngoanpv;4.75;0.63;0
3springs;0;0;0
IBM;0;0;0
leetful;40.50;6.50;0
bbbenji;16.07;1.85;0
DDCSLearning;0;0;0
latchset;0;0;0
Xiaoming-Yu;43.43;5.43;0
zentity-io;0;0;0
lsh123;30.67;6.00;0
CaptainEven;83.00;6.38;0
