Nome/Dono;	URL;	Linguagem Primária;	Pull Requests Aceitas;	Releases;	Issues Fechadas;	Total de Issues;	Data de Criação;	Última Atualização;
macrozheng/mall;	https://github.com/macrozheng/mall;	Java;	0;	0;	260;	271;	2018-04-04T01:11:44Z;	2020-05-11T01:29:44Z;
apache/dubbo;	https://github.com/apache/dubbo;	Java;	1578;	24;	2889;	3405;	2012-06-19T07:56:02Z;	2020-05-11T00:45:34Z;
PhilJay/MPAndroidChart;	https://github.com/PhilJay/MPAndroidChart;	Java;	189;	44;	2779;	4439;	2014-04-25T14:29:47Z;	2020-05-11T01:27:13Z;
bumptech/glide;	https://github.com/bumptech/glide;	Java;	326;	35;	3562;	3700;	2013-07-08T22:52:33Z;	2020-05-10T23:15:00Z;
airbnb/lottie-android;	https://github.com/airbnb/lottie-android;	Java;	363;	24;	1087;	1126;	2016-10-06T22:42:42Z;	2020-05-11T00:10:16Z;
Blankj/AndroidUtilCode;	https://github.com/Blankj/AndroidUtilCode;	Java;	65;	114;	1054;	1065;	2016-07-30T18:18:32Z;	2020-05-11T00:39:02Z;
proxyee-down-org/proxyee-down;	https://github.com/proxyee-down-org/proxyee-down;	Java;	16;	49;	0;	0;	2017-10-25T10:07:27Z;	2020-05-10T18:28:38Z;
zxing/zxing;	https://github.com/zxing/zxing;	Java;	151;	26;	986;	994;	2011-10-12T14:07:27Z;	2020-05-10T22:42:37Z;
JakeWharton/butterknife;	https://github.com/JakeWharton/butterknife;	Java;	339;	0;	1028;	1122;	2013-03-05T08:18:59Z;	2020-05-10T22:31:50Z;
crossoverJie/JCSprout;	https://github.com/crossoverJie/JCSprout;	Java;	69;	0;	59;	87;	2017-12-17T09:06:50Z;	2020-05-10T18:05:13Z;
TheAlgorithms/Java;	https://github.com/TheAlgorithms/Java;	Java;	390;	0;	133;	174;	2016-07-16T10:21:02Z;	2020-05-11T01:15:35Z;
netty/netty;	https://github.com/netty/netty;	Java;	1402;	0;	4682;	5055;	2010-11-09T09:22:21Z;	2020-05-11T01:23:51Z;
greenrobot/EventBus;	https://github.com/greenrobot/EventBus;	Java;	29;	5;	432;	520;	2012-07-16T16:55:40Z;	2020-05-11T01:17:02Z;
skylot/jadx;	https://github.com/skylot/jadx;	Java;	207;	13;	559;	677;	2013-03-18T17:08:21Z;	2020-05-10T21:59:01Z;
ityouknow/spring-boot-examples;	https://github.com/ityouknow/spring-boot-examples;	Java;	5;	0;	94;	96;	2016-11-05T05:32:33Z;	2020-05-11T01:23:27Z;
alibaba/fastjson;	https://github.com/alibaba/fastjson;	Java;	310;	74;	1336;	2620;	2011-11-03T06:58:52Z;	2020-05-10T15:20:31Z;
alibaba/druid;	https://github.com/alibaba/druid;	Java;	877;	34;	1070;	2762;	2011-11-03T05:12:51Z;	2020-05-10T15:37:01Z;
alibaba/arthas;	https://github.com/alibaba/arthas;	Java;	162;	13;	758;	874;	2018-08-29T17:15:57Z;	2020-05-11T00:07:40Z;
eugenp/tutorials;	https://github.com/eugenp/tutorials;	Java;	6280;	0;	361;	373;	2013-04-29T18:26:36Z;	2020-05-11T00:34:53Z;
NationalSecurityAgency/ghidra;	https://github.com/NationalSecurityAgency/ghidra;	Java;	136;	0;	832;	1481;	2019-03-01T03:27:48Z;	2020-05-11T01:34:27Z;
scwang90/SmartRefreshLayout;	https://github.com/scwang90/SmartRefreshLayout;	Java;	6;	7;	1045;	1128;	2017-06-02T09:52:50Z;	2020-05-11T00:05:07Z;
