Nome/Dono;	URL;	Linguagem Primária;	Pull Requests Aceitas;	Releases;	Issues Fechadas;	Total de Issues;	Data de Criação;	Última Atualização;
iikira/BaiduPCS-Go;	https://github.com/iikira/BaiduPCS-Go;	Go;	12;	25;	791;	919;	2017-11-30T05:09:26Z;	2020-05-11T01:31:49Z;
pingcap/tidb;	https://github.com/pingcap/tidb;	Go;	10991;	96;	3058;	4477;	2015-09-06T04:01:52Z;	2020-05-11T01:28:56Z;
istio/istio;	https://github.com/istio/istio;	Go;	10191;	124;	8456;	9589;	2016-11-18T23:57:21Z;	2020-05-11T01:40:31Z;
hashicorp/terraform;	https://github.com/hashicorp/terraform;	Go;	8101;	115;	13333;	14643;	2014-03-13T22:25:48Z;	2020-05-10T23:18:20Z;
minio/minio;	https://github.com/minio/minio;	Go;	4838;	155;	3956;	4046;	2015-01-14T19:23:58Z;	2020-05-11T01:48:06Z;
rclone/rclone;	https://github.com/rclone/rclone;	Go;	662;	64;	2564;	3216;	2014-03-16T16:19:57Z;	2020-05-10T23:20:08Z;
unknwon/the-way-to-go_ZH_CN;	https://github.com/unknwon/the-way-to-go_ZH_CN;	Go;	523;	0;	0;	0;	2013-03-24T17:18:38Z;	2020-05-11T01:35:00Z;
drone/drone;	https://github.com/drone/drone;	Go;	832;	0;	1676;	1706;	2014-02-07T07:54:44Z;	2020-05-10T23:21:28Z;
wagoodman/dive;	https://github.com/wagoodman/dive;	Go;	102;	23;	134;	187;	2018-05-13T15:44:01Z;	2020-05-11T01:01:43Z;
go-gitea/gitea;	https://github.com/go-gitea/gitea;	Go;	5112;	87;	4094;	5374;	2016-11-01T02:13:26Z;	2020-05-11T01:17:58Z;
github/hub;	https://github.com/github/hub;	Go;	387;	60;	1491;	1691;	2009-12-05T22:15:25Z;	2020-05-11T01:47:47Z;
hashicorp/consul;	https://github.com/hashicorp/consul;	Go;	3426;	0;	3148;	3724;	2013-11-04T22:15:27Z;	2020-05-10T21:21:51Z;
influxdata/influxdb;	https://github.com/influxdata/influxdb;	Go;	6946;	34;	9060;	9823;	2013-09-26T14:31:10Z;	2020-05-10T13:38:16Z;
inconshreveable/ngrok;	https://github.com/inconshreveable/ngrok;	Go;	34;	0;	371;	592;	2013-03-20T09:37:43Z;	2020-05-11T01:44:04Z;
jinzhu/gorm;	https://github.com/jinzhu/gorm;	Go;	333;	10;	1779;	2422;	2013-10-25T08:31:38Z;	2020-05-11T01:26:19Z;
kubernetes/minikube;	https://github.com/kubernetes/minikube;	Go;	3208;	90;	3880;	4303;	2016-04-15T22:38:35Z;	2020-05-10T20:02:08Z;
cockroachdb/cockroach;	https://github.com/cockroachdb/cockroach;	Go;	21852;	0;	21567;	24583;	2014-02-06T00:18:47Z;	2020-05-10T21:58:45Z;
mattermost/mattermost-server;	https://github.com/mattermost/mattermost-server;	Go;	8603;	191;	4252;	4630;	2015-06-15T06:50:02Z;	2020-05-10T23:58:20Z;
kataras/iris;	https://github.com/kataras/iris;	Go;	151;	26;	524;	540;	2016-01-30T04:36:48Z;	2020-05-11T00:44:34Z;
nsqio/nsq;	https://github.com/nsqio/nsq;	Go;	606;	29;	472;	519;	2012-05-12T14:37:08Z;	2020-05-11T00:20:15Z;
openfaas/faas;	https://github.com/openfaas/faas;	Go;	603;	127;	616;	679;	2016-12-22T12:51:39Z;	2020-05-11T01:19:37Z;
labstack/echo;	https://github.com/labstack/echo;	Go;	306;	78;	968;	997;	2015-03-01T17:43:01Z;	2020-05-11T00:05:26Z;
helm/helm;	https://github.com/helm/helm;	Go;	2822;	111;	3759;	4512;	2015-10-06T01:07:32Z;	2020-05-11T01:46:23Z;
go-kit/kit;	https://github.com/go-kit/kit;	Go;	410;	10;	397;	452;	2015-02-03T00:01:19Z;	2020-05-11T01:26:04Z;
spf13/cobra;	https://github.com/spf13/cobra;	Go;	305;	8;	398;	565;	2013-09-03T20:40:26Z;	2020-05-11T01:40:17Z;
yeasy/docker_practice;	https://github.com/yeasy/docker_practice;	Go;	228;	13;	172;	176;	2014-09-05T04:06:39Z;	2020-05-10T15:40:29Z;
jesseduffield/lazygit;	https://github.com/jesseduffield/lazygit;	Go;	342;	90;	325;	428;	2018-05-19T00:53:06Z;	2020-05-11T00:30:43Z;
hashicorp/vault;	https://github.com/hashicorp/vault;	Go;	4628;	0;	3105;	3595;	2015-02-25T00:15:59Z;	2020-05-11T01:31:29Z;
