Nome/Dono;	URL;	Linguagem Primária;	Pull Requests Aceitas;	Releases;	Issues Fechadas;	Total de Issues;	Data de Criação;	Última Atualização;
neuecc/UniRx;	https://github.com/neuecc/UniRx;	C#;	55;	25;	205;	351;	2014-03-20T12:23:28Z;	2020-05-11T01:25:47Z;
microsoft/msbuild;	https://github.com/microsoft/msbuild;	C#;	2239;	35;	1683;	2703;	2015-03-12T02:04:46Z;	2020-05-08T23:12:19Z;
mRemoteNG/mRemoteNG;	https://github.com/mRemoteNG/mRemoteNG;	C#;	215;	49;	889;	1459;	2010-01-06T15:53:17Z;	2020-05-11T00:59:15Z;
huiyadanli/RevokeMsgPatcher;	https://github.com/huiyadanli/RevokeMsgPatcher;	C#;	0;	8;	74;	90;	2019-07-21T15:12:52Z;	2020-05-10T15:43:13Z;
opserver/Opserver;	https://github.com/opserver/Opserver;	C#;	109;	0;	147;	202;	2013-10-15T12:31:34Z;	2020-05-10T14:26:33Z;
SixLabors/ImageSharp;	https://github.com/SixLabors/ImageSharp;	C#;	568;	8;	518;	554;	2016-10-28T04:46:36Z;	2020-05-10T16:36:40Z;
quartznet/quartznet;	https://github.com/quartznet/quartznet;	C#;	141;	34;	534;	661;	2010-12-30T16:29:27Z;	2020-05-09T06:21:11Z;
OrchardCMS/OrchardCore;	https://github.com/OrchardCMS/OrchardCore;	C#;	2150;	4;	2823;	3557;	2014-11-19T22:29:26Z;	2020-05-10T21:27:03Z;
accord-net/framework;	https://github.com/accord-net/framework;	C#;	145;	14;	1279;	1930;	2012-04-08T13:35:01Z;	2020-05-10T09:02:19Z;
HJLebbink/asm-dude;	https://github.com/HJLebbink/asm-dude;	C#;	6;	39;	80;	102;	2016-02-19T15:43:23Z;	2020-05-09T15:50:28Z;
OptiKey/OptiKey;	https://github.com/OptiKey/OptiKey;	C#;	246;	103;	301;	358;	2014-07-14T21:23:52Z;	2020-05-09T22:44:56Z;
dotnetcore/CAP;	https://github.com/dotnetcore/CAP;	C#;	73;	29;	459;	460;	2016-12-14T09:40:20Z;	2020-05-10T21:41:06Z;
PrismLibrary/Prism;	https://github.com/PrismLibrary/Prism;	C#;	539;	24;	1402;	1421;	2015-02-25T20:54:32Z;	2020-05-10T13:45:34Z;
huiyadanli/RevokeMsgPatcher;	https://github.com/huiyadanli/RevokeMsgPatcher;	C#;	0;	8;	74;	90;	2019-07-21T15:12:52Z;	2020-05-10T15:43:13Z;
opserver/Opserver;	https://github.com/opserver/Opserver;	C#;	109;	0;	147;	202;	2013-10-15T12:31:34Z;	2020-05-10T14:26:33Z;
SixLabors/ImageSharp;	https://github.com/SixLabors/ImageSharp;	C#;	568;	8;	518;	554;	2016-10-28T04:46:36Z;	2020-05-10T16:36:40Z;
quartznet/quartznet;	https://github.com/quartznet/quartznet;	C#;	141;	34;	534;	661;	2010-12-30T16:29:27Z;	2020-05-09T06:21:11Z;
OrchardCMS/OrchardCore;	https://github.com/OrchardCMS/OrchardCore;	C#;	2150;	4;	2823;	3557;	2014-11-19T22:29:26Z;	2020-05-10T21:27:03Z;
pojala/electrino;	https://github.com/pojala/electrino;	C#;	4;	0;	6;	21;	2017-05-02T14:26:49Z;	2020-05-10T04:38:13Z;
accord-net/framework;	https://github.com/accord-net/framework;	C#;	145;	14;	1279;	1930;	2012-04-08T13:35:01Z;	2020-05-10T09:02:19Z;
HJLebbink/asm-dude;	https://github.com/HJLebbink/asm-dude;	C#;	6;	39;	80;	102;	2016-02-19T15:43:23Z;	2020-05-09T15:50:28Z;
HearthSim/Hearthstone-Deck-Tracker;	https://github.com/HearthSim/Hearthstone-Deck-Tracker;	C#;	277;	274;	3161;	3618;	2014-05-29T18:44:12Z;	2020-05-10T05:57:18Z;
